FECHA_CREACION,GENERO_1,GENERO_2,FECHA_MATRIMONIO
26SEP2019:08:09:35,Masculino,Femenino,20OCT2006:00:00:00
26SEP2019:08:24:31,Masculino,Femenino,25NOV1993:00:00:00
26SEP2019:08:23:25,Femenino,Masculino,01JAN1968:00:00:00
26SEP2019:08:40:06,Femenino,Masculino,01MAR2018:00:00:00
26SEP2019:08:33:27,Masculino,Femenino,03MAR1995:00:00:00
26SEP2019:09:13:36,Masculino,Femenino,07OCT2005:00:00:00
26SEP2019:09:17:37,No declara,No declara,12MAR1987:00:00:00
26SEP2019:09:23:44,No declara,Femenino,06MAY1996:00:00:00
26SEP2019:09:24:50,Femenino,,11APR2013:00:00:00
26SEP2019:09:31:37,Masculino,Femenino,15AUG2003:00:00:00
26SEP2019:09:35:20,Masculino,No declara,10DEC1984:00:00:00
26SEP2019:09:35:29,Masculino,Femenino,05MAR2008:00:00:00
26SEP2019:09:43:28,Masculino,Femenino,29AUG2016:00:00:00
26SEP2019:09:45:05,Masculino,Femenino,19NOV2008:00:00:00
26SEP2019:09:49:29,Masculino,Femenino,26NOV1982:00:00:00
26SEP2019:09:51:12,Masculino,Femenino,28NOV2003:00:00:00
26SEP2019:09:56:02,Masculino,Femenino,01MAR2013:00:00:00
26SEP2019:10:01:30,Masculino,Femenino,02OCT2014:00:00:00
26SEP2019:10:02:07,Masculino,No declara,25SEP1986:00:00:00
26SEP2019:10:08:11,Masculino,Femenino,19JUN1997:00:00:00
26SEP2019:10:10:16,Masculino,Femenino,09DEC2008:00:00:00
26SEP2019:10:19:23,No declara,No declara,03MAR1995:00:00:00
26SEP2019:10:23:30,No declara,No declara,03JUN1994:00:00:00
26SEP2019:10:26:38,Masculino,Femenino,26AUG1998:00:00:00
26SEP2019:10:29:18,Masculino,,22NOV2007:00:00:00
26SEP2019:10:31:20,Masculino,No declara,26JUL1990:00:00:00
26SEP2019:10:35:05,Masculino,Femenino,01DEC2000:00:00:00
26SEP2019:10:38:30,Masculino,Femenino,26OCT2012:00:00:00
26SEP2019:10:40:16,Masculino,Femenino,16APR2004:00:00:00
26SEP2019:10:46:52,Masculino,Femenino,23SEP1982:00:00:00
26SEP2019:10:47:31,Masculino,Femenino,26FEB1999:00:00:00
26SEP2019:10:53:03,Masculino,Femenino,08NOV2007:00:00:00
26SEP2019:10:54:31,No declara,No declara,09FEB1990:00:00:00
26SEP2019:11:00:37,No declara,No declara,06APR1995:00:00:00
26SEP2019:11:04:24,Masculino,Femenino,20NOV2003:00:00:00
26SEP2019:11:13:20,Masculino,Femenino,27DEC1979:00:00:00
26SEP2019:11:07:58,No declara,No declara,10JAN1985:00:00:00
