fecha_matrimonio,genero_1,genero_2,comuna
2018-01-02,Masculino,Femenino,1
2018-01-02,Masculino,Femenino,12
2018-01-02,Masculino,Femenino,12
2018-01-02,Femenino,Masculino,12
2018-01-02,Masculino,Femenino,7
2018-01-02,Masculino,Femenino,7
2018-01-03,Masculino,Femenino,1
2018-01-03,Masculino,Femenino,1
2018-01-03,Masculino,Femenino,12
2018-01-03,Masculino,Femenino,14
2018-01-03,Masculino,Femenino,4
2018-01-03,Femenino,Masculino,5
2018-01-03,Femenino,Masculino,7
2018-01-04,Masculino,Femenino,1
2018-01-04,Masculino,Femenino,1
2018-01-04,Masculino,Femenino,1
2018-01-04,Masculino,Femenino,1
2018-01-04,Masculino,Femenino,1
2018-01-04,Femenino,Masculino,12
2018-01-04,Femenino,Masculino,12
2018-01-04,Femenino,Masculino,12
2018-01-04,Masculino,Femenino,12
2018-01-04,Femenino,Masculino,12
2018-01-04,Masculino,Femenino,13
2018-01-04,Femenino,Masculino,13
2018-01-04,Masculino,Femenino,14
2018-01-04,Masculino,Femenino,14
2018-01-04,Masculino,Femenino,14
2018-01-04,Masculino,Femenino,14
2018-01-04,Femenino,Masculino,15
2018-01-04,Masculino,Femenino,5
2018-01-04,Femenino,Masculino,5
2018-01-04,Masculino,Femenino,6
2018-01-04,Masculino,Femenino,6
2018-01-04,Femenino,Masculino,7
2018-01-04,Masculino,Femenino,8
2018-01-05,Masculino,Femenino,1
2018-01-05,Masculino,Femenino,1
2018-01-05,Masculino,Femenino,1
2018-01-05,Masculino,Femenino,1
2018-01-05,Masculino,Femenino,1
2018-01-05,Masculino,Femenino,1
2018-01-05,Masculino,Femenino,1
2018-01-05,Masculino,Femenino,1
2018-01-05,Masculino,Femenino,1
2018-01-05,Masculino,Femenino,1
2018-01-05,Masculino,Femenino,1
2018-01-05,Masculino,Femenino,1
2018-01-05,Masculino,Femenino,1
2018-01-05,Masculino,Femenino,1
2018-01-05,Masculino,Femenino,1
2018-01-05,Masculino,Femenino,1
2018-01-05,Masculino,Femenino,1
2018-01-05,Masculino,Femenino,1
2018-01-05,Femenino,Femenino,1
2018-01-05,Masculino,Femenino,11
2018-01-05,Masculino,Femenino,11
2018-01-05,Femenino,Masculino,11
2018-01-05,Femenino,Masculino,11
2018-01-05,Masculino,Femenino,11
2018-01-05,Masculino,Femenino,11
2018-01-05,Femenino,Masculino,11
2018-01-05,Femenino,Masculino,12
2018-01-05,Femenino,Masculino,12
2018-01-05,Femenino,Masculino,12
2018-01-05,Masculino,Femenino,12
2018-01-05,Femenino,Masculino,13
2018-01-05,Masculino,Femenino,13
2018-01-05,Femenino,Masculino,13
2018-01-05,Masculino,Femenino,13
2018-01-05,Masculino,Femenino,13
2018-01-05,Masculino,Femenino,13
2018-01-05,Masculino,Femenino,13
2018-01-05,Femenino,Masculino,13
2018-01-05,Masculino,Femenino,14
2018-01-05,Masculino,Femenino,14
2018-01-05,Masculino,Femenino,14
2018-01-05,Masculino,Femenino,14
2018-01-05,Masculino,Femenino,14
2018-01-05,Masculino,Femenino,14
2018-01-05,Femenino,Masculino,15
2018-01-05,Femenino,Masculino,15
2018-01-05,Femenino,Masculino,15
2018-01-05,Femenino,Masculino,15
2018-01-05,Masculino,Femenino,2
2018-01-05,Masculino,Femenino,2
2018-01-05,Masculino,Femenino,2
2018-01-05,Masculino,Masculino,2
2018-01-05,Femenino,Masculino,3
2018-01-05,Masculino,Femenino,4
2018-01-05,No declara,Femenino,4
2018-01-05,Masculino,Femenino,4
2018-01-05,Masculino,Femenino,5
2018-01-05,Masculino,Femenino,5
2018-01-05,Masculino,Femenino,5
2018-01-05,Masculino,Femenino,5
2018-01-05,Masculino,Femenino,5
2018-01-05,Masculino,Femenino,6
2018-01-05,Masculino,Femenino,6
2018-01-05,Masculino,Femenino,6
2018-01-05,Masculino,Femenino,6
2018-01-05,Masculino,Femenino,6
2018-01-05,Masculino,Femenino,7
2018-01-05,Masculino,Femenino,7
2018-01-05,Masculino,Femenino,7
2018-01-05,Femenino,Masculino,7
2018-01-05,Masculino,Femenino,7
2018-01-05,Masculino,Femenino,7
2018-01-05,Masculino,Femenino,8
2018-01-05,Masculino,Femenino,8
2018-01-05,Masculino,Femenino,8
2018-01-05,Masculino,Femenino,8
2018-01-06,Masculino,Femenino,1
2018-01-08,Masculino,Femenino,1
2018-01-08,Masculino,Femenino,1
2018-01-08,Masculino,Femenino,1
2018-01-08,Masculino,Femenino,1
2018-01-08,Masculino,Femenino,1
2018-01-08,Masculino,Femenino,11
2018-01-08,Masculino,Femenino,11
2018-01-08,Masculino,Femenino,13
2018-01-08,Masculino,Femenino,13
